post_id,description
110,a white sweater with a green hat and a pair of sunglasses
111,a dress is a garment worn by a woman to wear a dress
112,a black dress with a black belt and a black belt
113,a pair of jeans with a tee shirt and a pair of jeans
114,a dress is a garment worn by a woman
115,a t-shirt
116,a woman wearing a green sweater and jeans
117,a hat is a piece of clothing worn by a person
118,a t-shirt
119,a jacket is a jacket that is worn over a dress or top
120,a pair of black jeans with a tucked in waistband and a button down shirt
121,a hoodie
123,a black sweater with a white slogan on the front
124,a bag is a bag that is used to carry a bag or other item of clothing
125,a white dress with a white belt and a white belt
126,a dress is a dress that is worn by a woman
127,a woman wearing a white sweater and jeans
128,a woman wearing a t-shirt with a t-shirt and jeans
130,a hat is a fashion accessory that can be worn with a dress or a top
131,a white t-shirt with a black polka dot print
132,a sleeveless dress with a sleeveless top and a sleeveless top
133,a pair of sandals with a yellow striped pattern
134,a dress is a garment that is worn by a woman
137,a dress is a dress that is worn by a woman
138,a dress is a dress that is worn by a woman
139,a black leather jacket with a black leather jacket and black leather pants
140,a t-shirt is a garment that is worn by a person to represent their identity
141,a black t-shirt and black pants
142,a dress is a dress that is worn by a woman
143,a black sweatshirt with a black slogan on the front
144,a dress is a piece of clothing worn by a woman
145,a white dress with a white blouse and white skirt
146,a t-shirt is a garment that is worn by a person to express their personality
147,a dress is a garment worn by a woman
148,a black tee shirt with a black tee and a black tee
149,a pair of jeans
150,a dress is a piece of clothing worn by a woman
151,a pair of black cargo pants with a slit
152,a bikini is a swimsuit that is worn by women
153,a t-shirt with a t-shirt and a t-shirt
154,a white blazer is a white blazer that is a white blazer that is white
155,a black dress is a dress that is made of fabric that is black
156,a dress is a garment that is worn by a woman
157,a man in a suit and tie
158,a dress is a dress that is worn by a woman
159,a tweed skirt is a skirt that is made of a fabric that is woven into a fabric
160,a t-shirt is a garment that is worn by a person
161,a white blouse with a striped pattern and a striped tie belt
162,a black leather jacket with a hood
163,a pair of khaki pants with a tan tee and a white tee
164,a sleeveless top with a slit and a slit
165,a dress is a dress that is worn by a woman
166,a man in a suit and tie
167,a blue dress with a slit and a slit
168,a bag is a bag that is used to carry a bag or other item of clothing
169,a dress is a dress that is worn by a woman
170,a woman in a dress with a baby in her arms
171,a white dress with a lace top and a slit in the front
172,a tee shirt is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a shirt that is a
173,a wedding dress is a dress that is worn by a bride and groom
174,a tweed jacket with a tweed jacket and a tweed jacket
175,a hat is a head piece that is worn on the head
176,a hat is a piece of clothing worn by a person to protect them from the sun
177,a pair of jeans with a t-shirt and a pair of boots
178,a dress is a dress that is worn by a woman
179,a white dress with a red bow
180,a dress is a dress that is worn by a woman
181,a sweater is a garment that is worn by a woman
182,a sleeveless dress with a slit in the front
183,a black and white dress with a white shawl
184,a dress is a garment worn by a woman
185,a dress is a dress that is worn by a woman
186,a dress is a dress that is worn by a woman
187,a t-shirt with a t-shirt and a pair of jeans
188,a dress is a dress that is worn by a woman
189,a kimono is a garment worn by women to cover their body
190,a grey jumpsuit with a white shirt and a pair of black boots
191,a pair of jeans with a pair of boots
192,a woman wearing a patterned dress and a pair of pants
193,a t-shirt with a sleeveless collar and a sleeveless collar
194,a black coat coat is a coat that is long and wide and has a collar
195,a bikini is a swimsuit that is worn by women
196,a bag is a bag that is used to carry a bag or other item
197,a pair of boots with a slit and a lace up front
198,a black coat is a type of coat that is worn by women in winter
199,a coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat
200,a black coat with a black hood and a black hood
201,a coat hangs on a coat rack in a closet
202,a white shirt is a garment that is white in color
203,a striped dress with a slit and a slit
204,a pink sweater dress with a sleeveless top and a sleeveless top
205,a white striped shirt with a white striped shirt and white striped trousers
206,a t-shirt is a garment that is worn by a person to represent their personality
207,a bag is a bag that is used to carry a purse or other item of clothing
208,a sleeveless dress
209,a hat is a piece of clothing worn by a person
210,a t-shirt is a garment that is worn by a person to express their personality
211,a dress is a garment that is worn by a woman
212,a white blazer jacket is a jacket that is a white jacket with a white collar and a white collar
213,a white blouse with a white blazer and white trousers
214,a dress is a dress that is worn by a woman
215,a black leather jacket with a hood
216,a t-shirt is a garment that is worn by a person to wear a particular outfit
217,a dress is a garment worn by a woman
218,a lace dress is a dress that has a lace bodice and a lace skirt
219,a dress is a dress that is worn by a woman
220,"a trench coat is a long coat that has a long sleeve and a long sleeve, and is usually made of a light brown or light brown fabric"
221,a bag is a bag that is used to carry a purse or other item of clothing
222,a t-shirt is a garment that is worn by a person to represent their personality
223,a t-shirt is a garment that is worn by a person to represent their personality
224,a dress is a dress that is worn by a woman
225,a white shirt with a black jacket and a pair of sunglasses
226,a blue bag is a bag that is blue in color
227,a bag is a fashion accessory that can be used to carry a purse or other small bag
228,nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air force 1 x nike air
229,a bikini is a piece of clothing worn by a woman
230,a black dress with a slit and a slit
231,a t-shirt is a garment that is worn by a person
232,a dress is a dress that is worn by a woman
233,a pair of shorts with a t-shirt and a pair of jeans
234,a t-shirt is a garment that is worn by a person to represent their identity
235,a t-shirt is a garment that is worn by a person to represent their identity
236,a family portrait of a family of four with a baby boy and a baby girl
237,a car is a vehicle that is driven by a driver
238,a midi dress with a slit and a slit
239,a t-shirt is a piece of clothing that is worn by a person
240,a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a
241,a dress is a dress that is worn by a woman
242,a pair of jeans with a t-shirt and a pair of boots
243,a hat is a fashion accessory that can be worn by a woman or a man
244,a t-shirt is a garment that is worn by a person
245,a dress is a dress that is worn by a woman
246,a white dress with a slit
247,a pair of shorts is a pair of shorts that are worn by a person
248,a black blazer jacket is a jacket that is a black jacket with a black blazer
249,a white shirt with a white collar and a white collar is a white shirt with a white collar and white collar
250,a pair of jeans with a white shirt and white sneakers
251,a pair of jeans with a tee shirt and a pair of jeans with a tee shirt and a pair of jeans with a tee shirt
252,a dress is a garment worn by a woman for a formal occasion
253,"a leather jacket is a jacket that is made of leather, leather, or another material"
254,a t-shirt with a t-shirt and a t-shirt
255,a blazer jacket is a jacket that is worn over a shirt or blouse
256,a dress is a dress that is worn by a woman
257,a red sweater with a red sweater and red jeans
258,"a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of"
259,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket
260,a polo shirt is a garment that is worn by a person to wear a particular outfit
261,a dress is a dress that is worn by a woman
262,a t-shirt with a t-shirt and a t-shirt
263,a blazer jacket is a jacket that is worn over a shirt or blouse
264,a jacket is a jacket that is worn over a shirt or top
265,a hat is a fashion accessory that can be worn by a person or a group of people
266,a pair of sandals with a tan leather strap and a gold buckle
267,a fashion item is a piece of clothing or accessories that is worn by a person
268,a pair of tan trousers with a black top and a black jacket
269,a t-shirt is a garment that is worn by a person to describe their personality
270,a white dress with a slit in the back
271,a pair of pyjamas
272,a t-shirt is a garment that is worn by a person to wear a particular outfit
273,a dress is a dress that is worn by a woman
274,a bag is a bag that is used to carry a purse or other item
275,a dress is a garment worn by a woman
276,a pair of earrings with a flower
277,a white tee shirt with a white polo shirt and white pants
278,a trench coat is a long coat that has a long sleeve and a long sleeve
279,a black coat coat with a white hat and a white hat
280,a dress is a piece of clothing worn by a woman
281,a black jumpsuit with a slit in the front
282,a blue striped dress
283,a dress is a dress that is worn by a woman
284,a white dress with a striped top and a striped skirt
285,a dress is a garment worn by a woman
286,a polka dot top
287,a dress with a slit in the front
288,a dress is a garment worn by a woman
289,a t-shirt with a t-shirt and a pair of jeans
290,a dress is a garment worn by a woman
291,a white shirt with a striped skirt and a white tee
292,a black sweater with a black hood and a black hood
293,a striped tee shirt with a striped tee
294,a black dress with a slit
295,a dress is a garment worn by a woman
296,a black coat is a coat that is long and has a collar
297,a fashion item is a piece of clothing that is worn by a person
298,a man in a red shirt and a pair of jeans
299,a pair of jeans with a tee and a tee
300,a t-shirt is a garment that is worn by a person
301,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person to express their personal style or personality"
302,a tee shirt is a shirt that is worn by a person to represent their personality
303,a pair of sunglasses with a pair of sunglasses and a pair of sunglasses
304,a blazer jacket is a jacket that has a collar and a collar
305,a tweed jacket with a sleeveless collar and a sleeveless collar
306,a t-shirt is a garment that is worn by a person to show their personality
307,a tweed jacket with a tweed jacket and a tweed jacket
308,a dress is a garment worn by a woman
309,a bikini is a swimsuit that is worn by women
310,a dress is a garment that is worn by a woman
311,a black leather jacket with a lace-up front and a slit in the back
312,a pair of shoes is a fashion item that is worn by many people
313,a hat is a piece of clothing worn by a person to protect their head from the sun
314,a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of
315,a t-shirt with a t-shirt and a t-shirt
316,a shirt with a collar and a collar is a shirt
317,a sweater is a piece of clothing that is worn by a person to wear a particular outfit
318,a white shirt with a black jacket and a white shirt
319,a black coat is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is
320,a dress is a garment worn by a woman
321,a tee shirt is a shirt that is worn by a person to wear a shirt
322,"a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the"
323,a white shirt with a black striped shirt and a white striped shirt
324,a t-shirt is a garment that is worn by a person to represent their personality
325,a pair of leggings is a pair of leggings that are worn in the leggings style
326,a dress is a garment worn by a woman to dress in a particular style
327,a t-shirt is a garment that is worn by a person to express their personality
328,a bag is a fashion accessory that can be worn by a woman to carry her purse or other items
329,a t-shirt with a t-shirt and a pair of jeans
330,a dress is a dress that is worn by a woman
331,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket
333,a pair of ruffled ruffled pants
334,a black coat coat is a coat that is black in color
335,a t-shirt is a garment that is worn by a person
336,a pair of sunglasses with a mirrored lens
337,a long sleeved dress with a sleeved top and a sleeved top
338,a woman in a black dress with a black bag
339,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person"
340,a dress is a dress that is worn by a woman
341,a trench coat is a coat that is worn over a trench coat
342,a black t-shirt with a white polka dot print
343,a pair of shorts with a tee shirt and a pair of shorts
344,"a black coat is a coat that is black in color, but has a pattern or pattern that is black in color"
345,a pair of shorts is a pair of shorts that are worn by a person
346,a man in a shirt and jeans with a shirt and jeans
347,a tan romper with a tan top and a tan skirt
348,a leather jacket is a jacket that is worn over a shirt or shirt
349,a teddy bear costume is a costume that is worn by a character in a television show or movie
350,a pair of jeans with a tee and a sweater
351,a pink coat is a coat that is a pink coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that
352,a t-shirt with a t-shirt and a pair of jeans
353,a t-shirt
354,a denim jacket is a jacket that is worn over a shirt or blouse
355,a white dress is a dress that is white in color
356,a dress is a garment worn by a woman
357,a dress with a hat and a skirt
358,a model in a dress with a skirt and a top
359,a dress is a garment worn by a woman
360,a dress is a piece of clothing worn by a woman
361,a bag
362,a woman wearing a striped sweater and a striped scarf
363,a dress is a garment that is worn by a woman
364,a skirt is a garment that is worn by a woman
365,a ring is a piece of jewelry worn on the finger or finger of the hand
366,a dress is a dress that is worn by a woman
367,a tan leather jacket with gold hardware
368,a dress is a piece of clothing worn by a woman
369,a dress is a dress that is worn by a woman
370,a blue dress with a blue skirt
371,a t-shirt is a garment that is worn by a person to express their personality
372,a t-shirt is a garment that is worn by a person to wear clothing
373,a t-shirt is a garment that is worn by a person to represent their identity
374,a dress is a garment that is worn by a woman
375,a t-shirt with a t-shirt and a t-shirt
376,a tweed jacket is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket
377,a white t-shirt with a white polka dot print
378,a pair of jeans pants
379,a black dress with a slit
380,a t-shirt is a garment that is worn by a person
381,a pair of brown leather boots with a leather belt and a leather jacket
382,a t-shirt is a garment that is worn by a person to express their personality
383,a dress is a dress that is worn by a woman
384,a bag is a bag that is used to carry a purse or other item of clothing
385,a tee shirt with a tee and a pair of jeans
386,a tee shirt in a blue color with a white tee and a black belt
387,a tan dress with a tan top and a tan skirt
388,a bathrobe is a bathrobe that is worn by a person to bathe in a bath
389,a t-shirt with a t-shirt and a t-shirt
390,a fashion item is a piece of clothing or accessories that is worn by a person
391,a tuxedo is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is 
392,a bag is a fashion accessory that is used to carry a bag
393,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person"
394,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person"
395,a white dress with a lace skirt and a sleeveless top
396,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person"
397,a t-shirt is a garment that is worn by a person
398,"a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is "
399,a dress is a piece of clothing worn by a woman or a girl
400,a striped t-shirt with a striped t-shirt
401,a dress is a dress that is worn by a woman
402,a bikini is a swimsuit that is worn by women
403,a hat is a fashion accessory that can be worn with a variety of different styles
404,a dress is a dress that is worn by a woman
405,a dress is a garment worn by a woman
406,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person"
407,a t-shirt with a t-shirt and a t-shirt
408,a dress is a garment worn by a woman
409,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person"
410,a fashion item is a piece of clothing or clothing that is worn by a person
411,a red dress with a ruffle and a slit
412,a tiger print dress with a tiger print dress
413,a dress with a sleeveless top and a sleeveless top
414,a dress is a dress that is worn by a person
415,a dress is a dress that is worn by a woman
416,a t-shirt is a garment that is worn by a person to represent their personality
417,a black dress with a slit
418,a dress is a dress that is worn by a woman
419,a fashion item is a garment that is worn by a person
420,a t-shirt with a striped pattern
421,a bikini is a piece of clothing worn by women
422,a dress is a dress that is worn by a woman
423,a white dress with a pink jacket and a white shirt
424,a fashion item is a garment that is worn by a person
425,a shirt with a slogan that says elton john st. eliott john st. elton john st. elton john st. elton john st. elton john st. elton john st. elton john st. elton john st. elton john 
426,a dress is a dress that is worn by a woman
427,fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi
428,a polka dot dress with a polka dot hat and a polka dot hat
429,a pair of earrings with a dangle earring and a dangle earring
430,a plaid shirt is a shirt that has plaid on the front and back
431,a woman's thigh is shown in the photo with a blue thong and a blue thong
432,a t-shirt with a t-shirt and a pair of jeans
433,a t-shirt with a rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow
434,a t-shirt is a garment that is worn by a person
435,a shirt with a polka dot pattern
436,a dress is a dress that is worn by a woman
437,a coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat
438,a black dress with a lace top and a slit
439,a t-shirt with a hat and a pair of glasses
440,a dress is a garment worn by a woman
441,a blazer jacket is a jacket that is worn by a man
442,a dress is a dress that is worn by a woman
443,a sleeveless t-shirt with a sleeveless t-shirt and a sleeveless t-shirt
444,a black dress with a lace top and a lace skirt
445,a t-shirt with a t-shirt on it
446,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person"
447,a hat is a fashion accessory that can be worn by a person
448,a tee shirt is a garment that is worn by a person to express their personality
449,a dress is a garment worn by women
450,a hat is a fashion accessory that can be worn by a person or a group of people
451,a dress is a garment worn by women for a special occasion
452,a t-shirt is a garment that is worn by a person to wear a particular outfit
453,prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses
454,a black t-shirt with a black hoodie and a black hoodie
455,a t-shirt is a garment that is worn by a person to represent their personality
456,a bag is a bag that is used to carry a bag or other item
457,a patterned dress with a patterned skirt and a patterned top
458,a white dress with a halter top and a slit in the back
459,a t-shirt is a garment that is worn by a person to wear a particular style of clothing
460,a sweater is a garment that is worn over a shirt or blouse
461,a dress is a dress that is worn by a person
462,a model in a black dress with a black jacket and black boots
463,a woman in a blue dress with a blue jacket and a blue scarf
464,a woman in a red dress with a black jacket and a pair of black boots
465,a dress is a garment that is worn by a woman
466,a woman in a dress with a pair of yellow boots
467,a pair of jeans with a pair of boots
468,a woman in a white dress with a black hat and a black jacket
469,a dress is a dress that is worn by a woman
470,a shirt is a garment that is worn by a person
471,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person"
472,a fashion item is a piece of clothing or clothing that is worn by a person
473,a fashion item is a piece of clothing that is worn by a person
474,a dress is a dress that is worn by a woman
475,a dress is a dress that is worn by a woman
476,a dress is a dress that is worn by a woman
477,a fashion item is a piece of clothing that is worn by a person
478,a t-shirt with a t-shirt and a t-shirt
479,a white dress with a white top and a white skirt
480,a t-shirt is a garment that is worn by a person to represent their identity
481,a black dress with green ruffles and a slit
482,a t-shirt is a garment that is worn by a person to wear a particular style of clothing
483,a dress is a dress that is worn by a person
484,a lace dress is a dress that is made of fabric that is lace
485,a woman in a pink dress with a pink jacket and pink boots
486,a woman in a black dress with a black jacket and black pants
487,a t-shirt with a polo shirt and a tie
488,a tuxedo is a formal dress worn by a man in a formal setting
489,a dress is a dress that is worn by a woman
490,a sleeveless dress with a sleeveless dress
491,a red dress is a dress that is red in color
492,a dress is a garment that is worn by a woman
493,a hat is a hat that is worn by a person
494,a dress is a dress that is worn by a woman
495,a dress is a garment worn by a woman
496,a hat is a piece of clothing worn by a person to cover their head
497,a hat with a flower on it
498,a sweater is a garment that is worn by a woman
499,a shirt is a garment that is worn by a person
500,a dress is a dress that is worn by a woman
501,a man in a blue jacket and a white shirt
502,a dress is a dress that is worn by a woman
503,a sweater is a garment that is worn by a person to wear a particular style of clothing
504,a shirt
505,a black leather jacket with a white shirt and a pair of jeans
506,a tweed jacket with a belt
507,a blue polka dot dress with a slit and a slit
508,"a striped shirt is a garment that is a striped shirt, but it can be a shirt of any color or pattern"
509,a dress is a garment that is worn by a woman
510,a dress is a dress that is worn by a woman
511,a white striped shirt with a white striped shirt and white pants
512,a kimono - a kimono is a garment that is worn by a woman
513,"a fashion item is a piece of clothing, jewelry, or accessories that are worn by a person"
514,a model wears a blue dress with a blue jacket and blue shoes
515,a dress is a dress that is worn by a woman
516,a polka dot dress with a polka dot skirt and a polka dot top
517,a striped dress with a striped top and a striped skirt
518,a shirt
519,a fashion item is a piece of clothing or other clothing that is worn by a person
520,a hat is a piece of clothing worn by a person to wear a hat
521,a sleeveless dress is a garment that is worn over the top of a dress
522,a lilac dress with a lace bodice and a tulle skirt
523,a dress is a dress that is worn by a woman
524,a dress is a dress that is worn by a woman
525,a t-shirt is a garment that is worn by a person to represent their personality
526,a dress is a dress that is worn by a woman
527,a hat is a fashion accessory that can be worn by a person or a group of people
528,a woman in a red dress with a white shirt and a pair of black boots
529,a dress is a garment worn by a woman to dress in a particular style
530,a tweed jacket with a tweed jacket
531,a dress is a dress that is worn by a woman
532,a blazer jacket is a jacket that is worn over a shirt or a shirt and a jacket
533,a sweater is a garment that is worn over a shirt or blouse
534,a pair of jeans and a shirt
535,a pair of jeans with a tee shirt and a pair of jeans
536,"a hat is a fashion accessory that can be worn with a shirt, a jacket, or a scarf"
537,a hat is a fashion accessory that can be worn by women or men
538,a fashion item is a piece of clothing or clothing that is worn by a person
539,a t-shirt is a garment that is worn by a person to express their personality
540,a black dress with a slit
541,a black dress is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is a dress that is
542,a t-shirt with a t-shirt and a t-shirt
543,a t-shirt is a garment that is worn by a person to express their personality
544,a hat is a fashion accessory that can be worn by a person or a group of people
