image_id,filename,description,fashion_description
11,11.jpg,"The image shows a woman posing on a red carpet at a film festival. She is wearing a long, strapless, burgundy gown with a sweetheart neckline and long sleeves. The dress is made of a textured fabric with a ruffled skirt that falls to her knees. The woman is also wearing a statement necklace and has her hair styled in loose waves. She has a serious expression on her face and is looking directly at the camera. In the background, there are photographers and photographers taking pictures of the event. The sky is blue and there are trees and buildings visible in the distance.","OUTFIT: skirt, dress, lace, burgundy gown | ACCESSORIES: necklace, hat, ring | STYLE: strapless, loose, sweetheart neckline"
110,110.jpg,"The image shows a young woman walking through an airport terminal. She is wearing a white cardigan with a deep V-neckline and a pair of green sunglasses. Her blonde hair is styled in loose waves and she is carrying a brown purse. She has a serious expression on her face and is looking directly at the camera. The background shows a building with a sign that reads ""HTC"".","OUTFIT: white cardigan | ACCESSORIES: green sunglasses, brown purse, ring, glasses, hat | STYLE: v-neckline, loose, v-neck"
111,111.jpg,"The image is a black and white photograph of a young man and a young woman walking together. The man is on the left side of the image, wearing a suit and glasses, and is holding a piece of paper in his hand. He appears to be looking at the woman with a serious expression on his face. The woman is wearing a strapless, off-the-shoulder gown with a sweetheart neckline and a full skirt. She has her hair styled in an updo and is smiling at the man. In the background, there are two other men, one of whom is also smiling. The image appears to have been taken at a formal event, as there is a chandelier hanging from the ceiling.","OUTFIT: skirt, suit, gown | ACCESSORIES: ring, glasses | STYLE: strapless, off-the-shoulder, sweetheart neckline"
112,112.jpg,"The image is a close-up portrait of a young woman. She has blonde hair styled in loose waves and is wearing a black top with a fur collar. She is looking directly at the camera with a serious expression on her face. Her makeup is dramatic, with dark eyeliner and nude lipstick. The background appears to be a room with green shutters and a white lattice wall.","OUTFIT: black top, fur | ACCESSORIES: ring | STYLE: loose"
113,113.jpg,"The image shows a family of three - a man, a woman and a child - riding bicycles in a garden. The man is on the left side of the image, wearing a gray sweatshirt, camouflage shorts, and sunglasses. He is standing next to the woman and the child on the right side. The child is wearing a straw hat and sunglasses and is sitting on the front of the bicycle. The bicycle is decorated with pink and white flowers. In the background, there are trees and a building with a red roof. The sky is blue and the weather appears to be sunny.","OUTFIT: shorts, shirt, gray sweatshirt | ACCESSORIES: sunglasses, hat, glasses, ring"
114,114.jpg,"The image shows a woman lying on her back on a sandy beach. She is wearing a long, flowing dress and her hair is styled in loose curls. The sky is a deep blue with a few wispy clouds scattered across it. The ocean is visible in the background, with small waves crashing onto the shore. The overall mood of the image is peaceful and serene.",OUTFIT: dress | ACCESSORIES: ring | STYLE: loose
115,115.jpg,The image shows a young woman standing in front of a black door. She is wearing a grey t-shirt and brown pants. She has long brown hair and is wearing sunglasses. The door has a decorative design on it and there is a white brick wall on the left side of the image. The woman is looking off to the side with a serious expression on her face.,"OUTFIT: brown pants, shirt, grey t-shirt | ACCESSORIES: sunglasses, ring, glasses"
116,116.jpg,The image shows a young woman standing in front of a white wall. She is wearing a dark green fleece pullover with a zipper on the front. The pullover has a small white logo on the left chest pocket. She has blonde hair and is wearing black leggings. The woman is looking directly at the camera with a serious expression on her face.,"OUTFIT: green fleece pullover, black leggings | ACCESSORIES: ring"
117,117.jpg,"The image shows a young woman sitting on a beach chair with her daughter. The woman is wearing a blue hat with a white logo on it and sunglasses. She is holding the daughter in her arms and is looking at the camera with a smile on her face. The daughter is also wearing a white dress and has blonde hair. In the background, there are other people and umbrellas on the beach. The sky is blue and the weather appears to be sunny and warm.","OUTFIT: white dress | ACCESSORIES: sunglasses, blue hat, glasses, ring"
118,118.jpg,"The image shows a young woman standing in front of a white door, taking a selfie. She is wearing a pink button-down shirt with a deep V-neckline and long sleeves. The shirt has a lace-up detail on the front and appears to be made of a lightweight fabric. The woman is also wearing light blue ripped jeans with a high-waisted fit. She has her hair pulled back in a ponytail and is wearing gold bracelets on her wrists. The background is blurred, but it seems to be a room with a window and a plant.","OUTFIT: lace, blue ripped jeans, pink button-down shirt | ACCESSORIES: gold bracelet, ring | STYLE: v-neckline, lace-up, ripped, v-neck, high-waisted, button-down"
119,119.jpg,The image shows a young woman standing on a cobblestone street. She is wearing a dark brown puffer jacket with a high collar and long sleeves. She has a black crop top underneath the jacket and black pants. The woman is holding a black umbrella in her left hand and is looking off to the side with a serious expression on her face. The background is a white wall.,"OUTFIT: black crop top, brown puffer, black pants, brown puffer jacket | ACCESSORIES: ring"
12,12.jpg,"The image shows a luxurious living room with a large window on the right side. The window is covered with white sheer curtains that are hanging in a way that creates a drape-like effect. The curtains are draped over the windows, covering the entire room. In the center of the room, there is a round white sofa with a tufted backrest and armrests. The sofa is placed on a tiled floor with a geometric pattern. A chandelier hangs from the ceiling, adding a touch of elegance to the space. The room is bright and airy, with natural light coming in from the large windows.","OUTFIT: lace, geometric | ACCESSORIES: hat, ring"
120,120.jpg,The image shows a person standing in front of a white door with their back to the camera. The person is wearing a pair of black cargo pants with multiple pockets and a button closure at the waist. The pants appear to be made of a denim-like material and have a relaxed fit. They are paired with black and white Converse sneakers. The background is a tiled floor and a white wall.,"OUTFIT: denim, black cargo pants | ACCESSORIES: white converse sneakers, ring | STYLE: relaxed fit"
121,121.jpg,"The image shows a young woman standing in front of a mirror, taking a selfie. She is wearing a green hoodie, black leggings, and black boots. Her blonde hair is styled in loose waves and she is holding her phone up to take the picture. The background is a beige wall with a window on the left side. The overall mood of the image is casual and relaxed.","OUTFIT: green hoodie, black leggings | ACCESSORIES: black boots, ring | STYLE: loose"
123,123.jpg,"The image shows a woman standing on a street with her hands on her hips. She is wearing a black sweatshirt with the words ""Active High Class"" written in white on the front. The sweatshirt has a round neckline and long sleeves. The woman is also wearing ripped grey jeans and a gold necklace. She has long white nails and is posing with one hand on her hip. The background shows a zebra crossing.","OUTFIT: black sweatshirt, shirt, grey jeans, lace | ACCESSORIES: gold necklace, ring | STYLE: round neckline, ripped"
124,124.jpg,"The image shows a young woman lying on a bed with white sheets and pillows. She is wearing a white crop top and white shorts. She has shoulder-length dark hair and is holding a black handbag with a strap attached to it. The handbag has the word ""Bagota"" written on it in white letters. The woman is looking directly at the camera with a serious expression on her face. The background is a plain white wall.","OUTFIT: white crop top, white shorts | ACCESSORIES: black handbag, ring, bag"
125,125.jpg,"The image shows a woman standing on a balcony overlooking the ocean. She is wearing a long white dress with a high neckline and long sleeves. She has a leopard print bag slung over her shoulder and is wearing sunglasses. The balcony has a railing and there is a white chair and a table on the left side of the image. In the background, there are boats on the water and a small island on the right side. The sky is blue and the ocean is calm.","OUTFIT: white dress, leopard print | ACCESSORIES: sunglasses, ring, bag, glasses | STYLE: high neckline"
126,126.jpg,"The image shows a young woman standing in a room with a black and white striped floor. She is wearing a black sleeveless top and a white tulle skirt. She has a black handbag in her left hand and is posing with her right hand on her hip. The woman has short dark hair styled in a sleek updo and is looking directly at the camera with a serious expression. Behind her, there are three large gold spheres hanging on the wall. The spheres appear to be made of metal and have a shiny finish. The room has white walls and a chandelier hanging from the ceiling.","OUTFIT: white striped, white tulle skirt, black sleeveless top | ACCESSORIES: black handbag, ring, bag | STYLE: sleeveless"
127,127.jpg,The image shows a young woman standing in front of a black door with intricate carvings on the doors. She is wearing a white sweatshirt with a black logo on the front and brown pants. She has long curly hair and is wearing sunglasses. The woman is smiling and looking off to the side. The door appears to be made of stone and has a gold handle. The background is a beige wall.,"OUTFIT: brown pants, shirt, white sweatshirt | ACCESSORIES: sunglasses, ring, glasses"
128,128.jpg,"The image shows a young woman standing in front of a black door. She is wearing a grey t-shirt with a white logo on the front that reads ""Obey"" in a cursive font. She has long dark hair and is also wearing a silver necklace. The woman is standing with her hands in her pockets and is looking directly at the camera. She appears to be standing on a sidewalk with a brick wall in the background.","OUTFIT: lace, shirt, grey t-shirt | ACCESSORIES: silver necklace, hat, ring"
13,13.jpg,"The image shows a woman standing in a room with a wooden floor and a mirror. She is holding her phone up to take a selfie. The woman is wearing a silver blazer with a high collar and long sleeves. The blazer has a shiny finish and appears to be made of a shiny fabric. She has a pair of white trousers and black boots on her feet. In the background, there is a wooden table and a yellow umbrella.","OUTFIT: silver blazer, white trousers | ACCESSORIES: black boots, ring"
130,130.jpg,"The image shows a woman standing on a rocky cliff overlooking the ocean. She is wearing a white blouse, black shorts, and sunglasses. The cliff is covered in large rocks and boulders, and the ocean is visible in the background. The sky is blue with some clouds, and there are a few small waves crashing onto the shore. The woman is standing with her hands in her pockets and is looking out towards the horizon. The overall mood of the image is peaceful and serene.","OUTFIT: white blouse, black shorts | ACCESSORIES: sunglasses, ring, glasses"
131,131.jpg,"The image shows a woman sitting at a table with a plate of food in front of her. She is wearing a white t-shirt with the words ""Hotel Zeros"" printed on it and black sunglasses. She has blonde hair and is holding a white coffee cup in her hand and appears to be drinking from it. The table is covered with a beige tablecloth and there is a glass of water on the table. The background shows a white wall with a window and a staircase.","OUTFIT: printed, shirt, white t-shirt | ACCESSORIES: black sunglasses, ring, glasses"
132,132.jpg,"The image is a collage of two photos. On the left side, there is a photo of a woman wearing an orange maxi dress. The dress is sleeveless and has a high neckline. The woman is standing in front of a gray wall and is holding a phone in her right hand. She is wearing a straw bag and has long dark hair. The text on the image reads ""Weekly Tip Galleries #1"" and ""Amazon 3-piece skirt set with pockets"".","OUTFIT: skirt, orange maxi dress | ACCESSORIES: ring, bag | STYLE: high neckline, maxi, sleeveless"
133,133.jpg,"The image is an advertisement for a weekly tip sellers sale. It features a photo of a woman wearing a yellow dress and sandals. She is standing in a room with a beige carpet and a plant in the background. The woman is holding a phone in her hand and is smiling at the camera. On the left side of the image, there is an image of a pair of beige sandals with a woven design. The text on the image reads ""Weekly Tip Galleries #1"" and ""20% off"" with a price tag of $99.99. On top of the text, there are details about the sale, including the date, time, and location.","OUTFIT: yellow dress, top | ACCESSORIES: ring, beige sandals"
134,134.jpg,"The image shows an old stone archway with a group of people walking through it. The archway is made of stone and has a small window on the left side. The ground is covered in cobblestones and there is a tree on the right side of the image. The sky is visible in the background and the overall atmosphere is peaceful and serene. The image appears to be taken from a low angle, looking up at the archway.",
137,137.jpg,"The image shows a woman sitting on a chair in a luxurious living room. She is wearing a long white dress with a halter neckline and high heels. The dress is flowing in the wind and she is resting her legs on the armrests of the chair. On the left side of the image, there is a beige armchair with a brown and white dog lying on it. The room has a large window with sheer curtains and a painting hanging on the wall. The floor is covered with a patterned rug. The woman is looking off to the side with a serious expression on her face.","OUTFIT: white dress | ACCESSORIES: heels, ring, high heels | STYLE: halter"
138,138.jpg,"The image shows a woman walking down a staircase. She is wearing a long, flowing pink gown with a sweetheart neckline and off-the-shoulder straps. The gown has a full skirt that cascades down to the floor. The woman is holding onto a black handrail that extends to the right side of the image. The staircase has white walls and a chandelier hanging from the ceiling. The overall style of the gown is elegant and sophisticated.","OUTFIT: skirt, pink gown | ACCESSORIES: hat, ring | STYLE: off-the-shoulder, sweetheart neckline"
139,139.jpg,"The image shows a young woman standing in front of a wooden door. She is wearing a black long-sleeved top, black leather pants, and black ankle boots. She has a black crossbody bag slung over her shoulder and is wearing sunglasses. Her blonde hair is styled in loose waves and she is posing with one hand on her hip. The background is a white wall with a red curb.","OUTFIT: black leather pants, black leather, black long-sleeved top | ACCESSORIES: black crossbody bag, sunglasses, black ankle boots, ring, glasses, black crossbody | STYLE: loose, long-sleeved"
14,14.jpg,"The image shows a young woman standing in a bathroom. She is wearing a black tank top, grey jeans, and black flats. She has blonde hair styled in loose waves and is wearing sunglasses. The bathroom has a marble countertop with two sinks and a large mirror above it. There is a basket on the floor next to the countertop. The woman is posing with one hand on her hip and the other hand resting on the counter.","OUTFIT: grey jeans, black tank top | ACCESSORIES: sunglasses, ring, glasses, black flats | STYLE: loose"
140,140.jpg,"The image shows a young woman walking on a street. She is wearing a navy blue dress and has a beige bag slung over her shoulder. She has blonde hair tied up in a high ponytail and is wearing sunglasses. The woman is holding a large bouquet of flowers in her right hand and appears to be looking off into the distance. In the background, there are cars parked on the side of the street and a building with a yellow awning.","OUTFIT: blue dress | ACCESSORIES: beige bag, sunglasses, ring, glasses"
141,141.jpg,The image shows a young woman standing in front of a wooden door. She is wearing a black crop top and wide-legged trousers. She has a black crossbody bag slung over her shoulder and is wearing sunglasses. Her blonde hair is styled in a messy bun and she is looking off to the side with a serious expression on her face. The background is a white wall with a black door.,"OUTFIT: black crop top, wide-leg, trousers | ACCESSORIES: black crossbody bag, sunglasses, ring, glasses, black crossbody"
142,142.jpg,"The image shows a young woman standing in a garden. She is wearing a brown jacket and a straw hat. She has blonde hair and is smiling at the camera. In her hands, she is holding a bouquet of flowers. The bouquet is made up of different types of flowers, including roses, daisies, and lilies. The background shows a garden with trees, bushes, and a stone wall. The sky is blue and the weather appears to be sunny.","OUTFIT: brown jacket | ACCESSORIES: hat, ring"
143,143.jpg,"The image shows a person standing on a zebra crossing. The person is wearing a black long-sleeved sweatshirt with white text on it. The text reads ""I love you to the moon and back"" and is written in a cursive font. They are also wearing ripped grey jeans and black and white sneakers. The background is blurred, but it appears to be a city street with buildings and trees.","OUTFIT: shirt, grey jeans, black long-sleeved sweatshirt | ACCESSORIES: ring, white sneakers | STYLE: long-sleeved, ripped"
144,144.jpg,"The image shows a woman standing in a room with white walls and wooden flooring. She is wearing a long, flowy pink dress with a floral pattern. The dress is strapless and has a sweetheart neckline. The woman is holding a phone in her right hand and appears to be taking a picture of herself in the mirror. In the background, there is a dining table with a wooden chair and a white door. The room is dimly lit with natural light coming in from the window.","OUTFIT: floral, pink dress | ACCESSORIES: ring | STYLE: flowy, strapless, sweetheart neckline"
145,145.jpg,"The image shows a young woman standing in a garden. She is wearing a long, flowy white dress with a deep V-neckline and thin straps. Her blonde hair is styled in loose waves and cascades down her back. The garden is filled with various plants and shrubs, and there is a white umbrella in the background. The sky is blue and the sun is setting, casting a warm glow over the scene. The overall mood of the image is peaceful and serene.","OUTFIT: white dress | ACCESSORIES: ring | STYLE: v-neckline, flowy, loose, v-neck"
146,146.jpg,"The image shows a young woman sitting on a stone bench on a sidewalk. She is wearing a black short-sleeved dress and black high heels. She has blonde hair styled in loose waves and is wearing sunglasses. Next to her, there is a small white and brown dog on a leash. The dog is looking up at the woman with a curious expression. The background shows a building with a window and a sign that reads ""Cafe"".","OUTFIT: black short-sleeved dress | ACCESSORIES: sunglasses, ring, glasses, hat, black high heels | STYLE: short-sleeved, loose"
147,147.jpg,"The image shows a wooden table with a variety of food items arranged on it. On the left side of the table, there is a basket of fresh strawberries, a knife, a spatula, a small bowl of butter, a plate of sliced cheese, and a small container of strawberries. Next to the basket, there are two small bowls of strawberries and a bottle of honey. The table is covered with a white cloth and there are a few other items scattered around the table. The background is blurred, but it appears to be an outdoor setting with trees and a blue sky.",
148,148.jpg,"The image shows a person's hand holding a gray sweater with a pair of sunglasses resting on top of it. The sweater appears to be made of a soft, textured fabric and has a round neckline. The sunglasses have a gold frame and dark lenses. The person is wearing ripped blue jeans and black sneakers. The background is a wooden deck with a pink and white patterned rug.","OUTFIT: gray sweater, blue jeans, top | ACCESSORIES: sunglasses, black sneakers, ring, glasses | STYLE: round neckline, ripped"
149,149.jpg,The image shows a woman standing in front of a white door with her back to the camera. She is wearing a black crop top and light blue denim jeans. The jeans have a high-waisted fit and are slightly flared at the bottom. The woman is also wearing black and white sneakers. She has her hands in her pockets and is standing on a tiled floor.,"OUTFIT: black crop top, blue denim jeans, flare, blue denim | ACCESSORIES: ring, white sneakers | STYLE: high-waisted"
15,15.jpg,"The image shows a woman posing on a red carpet at a formal event. She is wearing a long, flowing red gown with a high slit on the side. The gown has a sweetheart neckline and is made up of multiple layers of ruffles and layers of fabric. The skirt of the gown is full and flows down to the floor. The woman is standing with one hand on her hip and the other resting on her thigh. She has her hair styled in loose waves and is wearing dramatic makeup with dark eyeliner and red lipstick. In the background, there are photographers and photographers taking pictures of the event. The sky is blue and there are palm trees in the background.","OUTFIT: skirt, red gown | ACCESSORIES: ring | STYLE: loose, sweetheart neckline"
150,150.jpg,The image shows a young woman standing on a street in front of a building. She is wearing a black and pink dress with a lace overlay. The dress has a sweetheart neckline and thin straps. She has long blonde hair styled in loose waves and is holding a pink handbag in her left hand. The woman is looking directly at the camera with a serious expression on her face. There are cars parked on the street and a black limousine in the background.,"OUTFIT: lace, pink dress | ACCESSORIES: pink handbag, bag, ring | STYLE: loose, sweetheart neckline"
151,151.jpg,The image shows a person standing in front of a white door with their back to the camera. The person is wearing a pair of dark blue jeans with multiple pockets and a button closure at the waist. The jeans appear to be made of a denim-like material and have a relaxed fit. They are paired with white sneakers. The background is a tiled floor and a white wall.,"OUTFIT: blue jeans, denim | ACCESSORIES: ring, white sneakers | STYLE: relaxed fit"
152,152.jpg,"The image shows a young woman standing on a sandy beach. She is wearing a black and white zebra print bikini and sunglasses. She has blonde hair and is looking directly at the camera with a slight smile on her face. In the background, there are lounge chairs and umbrellas, and the ocean can be seen in the distance. The sky is blue and the weather appears to be sunny and warm.","ACCESSORIES: sunglasses, ring, glasses"
153,153.jpg,The image shows a young woman standing on a sidewalk with her dog. The woman is wearing a long beige skirt and a maroon tank top. She is holding a black leash attached to the dog's collar. The dog is a small brown and white Pomeranian with a fluffy coat. The sidewalk is made of gray tiles and there is a building with a green awning in the background. The sky is blue and there are trees and other buildings visible in the distance.,"OUTFIT: maroon tank top, coat, beige skirt | ACCESSORIES: ring"
154,154.jpg,"The image shows a young woman standing in front of a large metal gate with intricate designs. She is wearing a white blazer with a double-breasted design and pink flats. She has blonde hair styled in loose waves and is wearing sunglasses. The gate appears to be made of stone and has a sign on it that reads ""The Royal Palace"". The woman is holding a small pink purse in her left hand and is looking off to the side with a serious expression on her face.","OUTFIT: white blazer, lace | ACCESSORIES: pink purse, pink flats, sunglasses, ring, glasses, hat | STYLE: loose"
155,155.jpg,The image shows a young woman standing in a gravel driveway in front of a house. She is wearing a long black dress with a halter neckline and a deep V-neckline. The dress has a fitted bodice and a flared skirt that falls to her ankles. She has blonde hair styled in loose waves and is smiling at the camera. The house in the background is a two-story building with a black roof and white walls. There is a wooden cart with potted plants on the right side of the image.,"OUTFIT: flare, red skirt, black dress | ACCESSORIES: hat, ring | STYLE: v-neckline, fitted, v-neck, halter, loose"
156,156.jpg,"The image shows a young woman lying on the ground on a sidewalk. She is wearing a black top, black pants, and black high heels. She has blonde hair and is wearing sunglasses. The woman is holding two brown paper bags filled with flowers and greenery. The bags appear to be filled with different types of flowers, including roses, daisies, and lilies. The sidewalk is made of gray tiles and there is a black car parked on the right side of the image. The image is taken from a high angle, looking down on the woman and the flowers.","OUTFIT: black top, black pants | ACCESSORIES: sunglasses, brown paper bag, ring, glasses, black high heels"
157,157.jpg,"The image shows a man standing on a red carpet at an event. He is wearing a black tuxedo with a white shirt and a black bow tie. He has a gold clutch in his left hand and is looking directly at the camera with a slight smile on his face. Behind him, there is a white backdrop with the words ""GQ Men of the Year Awards"" and logos of various sponsors.","OUTFIT: white shirt | ACCESSORIES: gold clutch, ring"
158,158.jpg,The image shows a plate of spaghetti with shrimp and tomato sauce. The spaghetti is cooked al dente and is covered in a rich tomato sauce with chunks of shrimp scattered throughout. The dish is garnished with fresh basil leaves. The plate is white with a gold rim and is placed on a woven placemat. A fork is resting on the side of the plate. The background is a wooden table.,OUTFIT: lace
159,159.jpg,The image shows a young woman standing in a room with wooden furniture and a large mirror. She is holding a black phone in her hand and taking a selfie. The woman is wearing a green blouse and a beige midi skirt. She has long dark hair and is wearing brown sandals. The room has a wooden floor and a white wall with a window with white curtains. There is a wooden dining table and chairs in the background.,"OUTFIT: green blouse, fur, beige midi skirt | ACCESSORIES: brown sandals, ring | STYLE: midi"
16,16.jpg,"The image shows a young woman standing on a sidewalk in front of a white house. She is wearing a white t-shirt, light blue jeans, and white sneakers. She has a black blazer over her shoulders and is carrying a black crossbody bag. Her hair is styled in loose waves and she is wearing sunglasses. The house has a porch with white railings and there are trees and bushes in the background.","OUTFIT: black blazer, shirt, blue jeans, white t-shirt | ACCESSORIES: black crossbody bag, sunglasses, ring, glasses, black crossbody, white sneakers | STYLE: loose"
160,160.jpg,"The image shows a young woman with dark hair, wearing a white t-shirt, holding a makeup brush in her right hand and applying foundation to her face. She is looking directly at the camera with a neutral expression. The background is a white curtain. The woman appears to be in her late twenties or early thirties.","OUTFIT: shirt, white t-shirt | ACCESSORIES: ring"
161,161.jpg,"The image shows a young woman standing in a kitchen, taking a mirror selfie. She is wearing a white off-the-shoulder top, grey pants, and black flip-flops. She has a straw bag slung over her shoulder and is holding her phone up to take the picture. The kitchen has wooden cabinets and a large wooden table with four chairs around it. The floor is covered with a beige area rug. There is a window with white curtains on the left side of the image.","OUTFIT: grey pants, white off-the-shoulder top | ACCESSORIES: ring, bag | STYLE: off-the-shoulder"
162,162.jpg,"The image shows a young woman standing in front of a mirror, taking a selfie. She is wearing a black leather jacket and black pants. The jacket has a high collar and long sleeves, and the pants are high-waisted. The woman has long blonde hair that is styled in loose waves and is holding her phone up to take the picture. The background of the image is a white wall with a geometric pattern.","OUTFIT: geometric, black leather, black leather jacket, black pants | ACCESSORIES: hat, ring | STYLE: loose, high-waisted"
163,163.jpg,"The image shows a young woman standing in a room with a large mirror in front of her. She is holding a black phone in her hand and taking a selfie. The woman is wearing a white blouse and pink pants, and is carrying a black and white woven bag. She has long curly hair and is wearing black flip-flops. The room has a wooden table and chairs, and there is a window with white curtains on the left side of the image. The floor is covered with a beige area rug.","OUTFIT: white blouse, pink pants | ACCESSORIES: ring, white woven bag"
164,164.jpg,The image shows a young woman standing on a sandy beach with a clear blue sky in the background. She is wearing a black crop top and a silver sequin mini skirt with cut-out details on the sides. She has blonde hair styled in loose waves and is holding a pink purse in her left hand. The woman is smiling and looking at the camera. There are several lounge chairs and umbrellas scattered around the beach.,"OUTFIT: black crop top, skirt | ACCESSORIES: pink purse, ring | STYLE: mini, loose"
165,165.jpg,"The image shows a plate of food on a wooden table. The plate is white and has a fork and knife on the right side. On the left side of the plate, there is a dish that appears to be a soup or stew. The soup is a creamy green color and is garnished with chopped herbs. In the background, there are two glasses of water and a small bowl of butter. The table is set with a white tablecloth and silverware.","ACCESSORIES: hat, glasses"
166,166.jpg,"The image shows a man standing in front of a glass door with his hands in his pockets. He is wearing a grey blazer with a black shirt underneath. He has a beard and mustache and is looking directly at the camera with a slight smile on his face. Behind him, there are several framed pictures hanging on the wall. The background appears to be an art gallery or exhibition space.","OUTFIT: black shirt, grey blazer | ACCESSORIES: ring"
167,167.jpg,"The image shows a young woman standing on a stone pathway in a garden. She is wearing a bright blue sleeveless dress with a high neckline and a midi length skirt. She has blonde hair styled in loose curls and is wearing black strappy heels. The woman is holding a black and white handbag in her left hand and is smiling at the camera. In the background, there is a white metal gate and a white bench. The garden is well-manicured with green bushes and trees.","OUTFIT: skirt, blue sleeveless dress | ACCESSORIES: white handbag, black strappy heels, ring, bag | STYLE: high neckline, midi, loose, sleeveless"
